review,rating,date,bank_name,source,sentiment_score,sentiment_label
አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,4,2025-06-04,Commercial Bank of Ethiopia,Google Play,0.0,neutral
best,5,2025-06-04,Commercial Bank of Ethiopia,Google Play,0.6369,positive
bezabih,5,2025-06-04,Commercial Bank of Ethiopia,Google Play,0.0,neutral
Best Mobile Banking app ever,5,2025-06-04,Commercial Bank of Ethiopia,Google Play,0.6369,positive
good,5,2025-06-04,Commercial Bank of Ethiopia,Google Play,0.4404,positive
it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,2,2025-06-04,Commercial Bank of Ethiopia,Google Play,0.6369,positive
Good,5,2025-06-04,Commercial Bank of Ethiopia,Google Play,0.4404,positive
👌👍,5,2025-06-04,Commercial Bank of Ethiopia,Google Play,0.7297,positive
very niec,5,2025-06-04,Commercial Bank of Ethiopia,Google Play,0.0,neutral
best app of finance,5,2025-06-04,Commercial Bank of Ethiopia,Google Play,0.6369,positive
yetemeta,1,2025-06-03,Commercial Bank of Ethiopia,Google Play,0.0,neutral
Engida Kebede Fetera,5,2025-06-03,Commercial Bank of Ethiopia,Google Play,0.0,neutral
good,5,2025-06-03,Commercial Bank of Ethiopia,Google Play,0.4404,positive
it is not safety,1,2025-06-03,Commercial Bank of Ethiopia,Google Play,-0.3252,negative
NICE bank,5,2025-06-03,Commercial Bank of Ethiopia,Google Play,0.5473,positive
it is like a childish app make it better the worst I have ever seen,1,2025-06-02,Commercial Bank of Ethiopia,Google Play,-0.2263,negative
"It's a problem solver application, go ahead CBE, I love so much.",5,2025-06-02,Commercial Bank of Ethiopia,Google Play,0.3612,positive
It's good but try to make it facilitate for your client,4,2025-06-02,Commercial Bank of Ethiopia,Google Play,0.2382,positive
best app,5,2025-06-01,Commercial Bank of Ethiopia,Google Play,0.6369,positive
Awesome bank,5,2025-06-01,Commercial Bank of Ethiopia,Google Play,0.6249,positive
this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,5,2025-05-31,Commercial Bank of Ethiopia,Google Play,0.8567,positive
Masha alla,5,2025-05-31,Commercial Bank of Ethiopia,Google Play,0.0,neutral
"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",2,2025-05-31,Commercial Bank of Ethiopia,Google Play,-0.3174,negative
better service,5,2025-05-31,Commercial Bank of Ethiopia,Google Play,0.4404,positive
"it,s good app and time manager 👍",5,2025-05-30,Commercial Bank of Ethiopia,Google Play,0.4404,positive
malkaamuu Jiidhaa Namoo,5,2025-05-30,Commercial Bank of Ethiopia,Google Play,0.0,neutral
lower system everything,3,2025-05-30,Commercial Bank of Ethiopia,Google Play,-0.296,negative
Nice!,5,2025-05-30,Commercial Bank of Ethiopia,Google Play,0.4753,positive
Keep it up My CBE,5,2025-05-29,Commercial Bank of Ethiopia,Google Play,0.0,neutral
yes good,5,2025-05-28,Commercial Bank of Ethiopia,Google Play,0.6808,positive
"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",4,2025-05-27,Commercial Bank of Ethiopia,Google Play,-0.3274,negative
i like everything of this app,5,2025-05-27,Commercial Bank of Ethiopia,Google Play,0.3612,positive
good,5,2025-05-27,Commercial Bank of Ethiopia,Google Play,0.4404,positive
🤬🤬🤬🤬 network 🛜,1,2025-05-26,Commercial Bank of Ethiopia,Google Play,0.0,neutral
Best,5,2025-05-26,Commercial Bank of Ethiopia,Google Play,0.6369,positive
CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,5,2025-05-26,Commercial Bank of Ethiopia,Google Play,0.9041,positive
nice,5,2025-05-26,Commercial Bank of Ethiopia,Google Play,0.4215,positive
good job,5,2025-05-26,Commercial Bank of Ethiopia,Google Play,0.4404,positive
Good,5,2025-05-25,Commercial Bank of Ethiopia,Google Play,0.4404,positive
it's awesome!!,5,2025-05-25,Commercial Bank of Ethiopia,Google Play,0.6892,positive
best,5,2025-05-25,Commercial Bank of Ethiopia,Google Play,0.6369,positive
thankyou every one,5,2025-05-25,Commercial Bank of Ethiopia,Google Play,0.0,neutral
best app,5,2025-05-25,Commercial Bank of Ethiopia,Google Play,0.6369,positive
Ronaldo 🇵🇹 🥇,5,2025-05-25,Commercial Bank of Ethiopia,Google Play,0.4767,positive
"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",5,2025-05-25,Commercial Bank of Ethiopia,Google Play,0.9377,positive
"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",2,2025-05-25,Commercial Bank of Ethiopia,Google Play,-0.7841,negative
mortuary app,5,2025-05-25,Commercial Bank of Ethiopia,Google Play,0.0,neutral
it is smart app but it has stoped after some period of time on my device with out any reason .,5,2025-05-25,Commercial Bank of Ethiopia,Google Play,0.2144,positive
amazing app I am used this app for one year,4,2025-05-24,Commercial Bank of Ethiopia,Google Play,0.5859,positive
👍,5,2025-05-24,Commercial Bank of Ethiopia,Google Play,0.0,neutral
good app,5,2025-05-24,Commercial Bank of Ethiopia,Google Play,0.4404,positive
i love it 😍😘,5,2025-05-24,Commercial Bank of Ethiopia,Google Play,0.875,positive
It makes life easy!👌,5,2025-05-24,Commercial Bank of Ethiopia,Google Play,0.8528,positive
its not fast,1,2025-05-24,Commercial Bank of Ethiopia,Google Play,0.0,neutral
wow,4,2025-05-24,Commercial Bank of Ethiopia,Google Play,0.5859,positive
it is sooo good,5,2025-05-24,Commercial Bank of Ethiopia,Google Play,0.4404,positive
excellent,5,2025-05-24,Commercial Bank of Ethiopia,Google Play,0.5719,positive
ok,1,2025-05-24,Commercial Bank of Ethiopia,Google Play,0.296,positive
Fantastic,5,2025-05-23,Commercial Bank of Ethiopia,Google Play,0.5574,positive
accessible to using,5,2025-05-23,Commercial Bank of Ethiopia,Google Play,0.0,neutral
I like it,4,2025-05-23,Commercial Bank of Ethiopia,Google Play,0.3612,positive
good,5,2025-05-23,Commercial Bank of Ethiopia,Google Play,0.4404,positive
why you change default network?,5,2025-05-23,Commercial Bank of Ethiopia,Google Play,0.0,neutral
very nice 👍,5,2025-05-23,Commercial Bank of Ethiopia,Google Play,0.4754,positive
nice fast app,5,2025-05-23,Commercial Bank of Ethiopia,Google Play,0.4215,positive
best,5,2025-05-23,Commercial Bank of Ethiopia,Google Play,0.6369,positive
how to I get my money,5,2025-05-23,Commercial Bank of Ethiopia,Google Play,0.0,neutral
"Very bad, can't even load they need to improve their services.",1,2025-05-22,Commercial Bank of Ethiopia,Google Play,-0.2247,negative
"Very good app, but please make it reliable . it crashes sometimes .",4,2025-05-22,Commercial Bank of Ethiopia,Google Play,0.6183,positive
very busy I don't know why... I prefer 889,3,2025-05-22,Commercial Bank of Ethiopia,Google Play,0.0,neutral
"Sometimes it has a nasty lag for several hour fix that , the rest is 👌",4,2025-05-22,Commercial Bank of Ethiopia,Google Play,0.0343,neutral
the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,1,2025-05-22,Commercial Bank of Ethiopia,Google Play,-0.3804,negative
hojii bonsaadha,5,2025-05-22,Commercial Bank of Ethiopia,Google Play,0.0,neutral
ok,5,2025-05-22,Commercial Bank of Ethiopia,Google Play,0.296,positive
user-friendly apps.because this app is easy.,5,2025-05-22,Commercial Bank of Ethiopia,Google Play,0.4404,positive
Awosome!!!,5,2025-05-22,Commercial Bank of Ethiopia,Google Play,0.0,neutral
"Very good app,",5,2025-05-22,Commercial Bank of Ethiopia,Google Play,0.4927,positive
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-05-22,Commercial Bank of Ethiopia,Google Play,0.4854,positive
ይህ መተግበሪያ በጣም ጥሩ ነው. this app is very nice,5,2025-05-22,Commercial Bank of Ethiopia,Google Play,0.4754,positive
I hate this app 😒,1,2025-05-22,Commercial Bank of Ethiopia,Google Play,-0.5719,negative
trustful,5,2025-05-22,Commercial Bank of Ethiopia,Google Play,0.4767,positive
I like,5,2025-05-22,Commercial Bank of Ethiopia,Google Play,0.3612,positive
update issue,4,2025-05-22,Commercial Bank of Ethiopia,Google Play,0.0,neutral
its not working over safari network,1,2025-05-22,Commercial Bank of Ethiopia,Google Play,0.0,neutral
oldie,1,2025-05-22,Commercial Bank of Ethiopia,Google Play,0.0,neutral
it doesn't work,1,2025-05-21,Commercial Bank of Ethiopia,Google Play,0.0,neutral
best,5,2025-05-21,Commercial Bank of Ethiopia,Google Play,0.6369,positive
"This app is good, and we are using it well",1,2025-05-21,Commercial Bank of Ethiopia,Google Play,0.6124,positive
ok,5,2025-05-21,Commercial Bank of Ethiopia,Google Play,0.296,positive
best app,5,2025-05-21,Commercial Bank of Ethiopia,Google Play,0.6369,positive
very nice 👌 app for android phone,5,2025-05-21,Commercial Bank of Ethiopia,Google Play,0.8679,positive
good app,5,2025-05-21,Commercial Bank of Ethiopia,Google Play,0.4404,positive
Yes Yes,5,2025-05-21,Commercial Bank of Ethiopia,Google Play,0.6597,positive
በጣም ከርፋፋ,1,2025-05-21,Commercial Bank of Ethiopia,Google Play,0.0,neutral
easy to use helpful in my life,5,2025-05-21,Commercial Bank of Ethiopia,Google Play,0.6908,positive
good 👍,4,2025-05-21,Commercial Bank of Ethiopia,Google Play,0.4404,positive
the best mobile banking app,5,2025-05-21,Commercial Bank of Ethiopia,Google Play,0.6369,positive
"this app is very useful app,it saves time,and it is secure",4,2025-05-21,Commercial Bank of Ethiopia,Google Play,0.6801,positive
ok,2,2025-05-21,Commercial Bank of Ethiopia,Google Play,0.296,positive
it's a good application 👍,5,2025-05-21,Commercial Bank of Ethiopia,Google Play,0.4404,positive
the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,2,2025-05-21,Commercial Bank of Ethiopia,Google Play,-0.5836,negative
poor service,1,2025-05-21,Commercial Bank of Ethiopia,Google Play,-0.4767,negative
amazing,5,2025-05-20,Commercial Bank of Ethiopia,Google Play,0.5859,positive
it is reliable and easy to use.,5,2025-05-20,Commercial Bank of Ethiopia,Google Play,0.4404,positive
the most annoying mobile banking app I've ever seen,1,2025-05-20,Commercial Bank of Ethiopia,Google Play,-0.4576,negative
Cbe mobile banking,5,2025-05-20,Commercial Bank of Ethiopia,Google Play,0.0,neutral
"i can't make Screenshout in this app, please made modification",5,2025-05-20,Commercial Bank of Ethiopia,Google Play,0.3182,positive
Best app I loved it,5,2025-05-19,Commercial Bank of Ethiopia,Google Play,0.8442,positive
nice app,5,2025-05-19,Commercial Bank of Ethiopia,Google Play,0.4215,positive
wow,5,2025-05-18,Commercial Bank of Ethiopia,Google Play,0.5859,positive
Amazing applicatiom sometimes doesnt work!,5,2025-05-18,Commercial Bank of Ethiopia,Google Play,0.6239,positive
well satisfied with this beautiful app,5,2025-05-18,Commercial Bank of Ethiopia,Google Play,0.8316,positive
very good,4,2025-05-17,Commercial Bank of Ethiopia,Google Play,0.4927,positive
best app.,5,2025-05-17,Commercial Bank of Ethiopia,Google Play,0.6369,positive
good,5,2025-05-17,Commercial Bank of Ethiopia,Google Play,0.4404,positive
"not working,why???",5,2025-05-17,Commercial Bank of Ethiopia,Google Play,0.0,neutral
Great impact but why Developer option turnoff if you fix 🙏 🙏 🙏,5,2025-05-17,Commercial Bank of Ethiopia,Google Play,0.3716,positive
excellent,5,2025-05-17,Commercial Bank of Ethiopia,Google Play,0.5719,positive
always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,1,2025-05-17,Commercial Bank of Ethiopia,Google Play,-0.6209,negative
woxe harimo ribiso,5,2025-05-17,Commercial Bank of Ethiopia,Google Play,0.0,neutral
good,5,2025-05-16,Commercial Bank of Ethiopia,Google Play,0.4404,positive
"Good ,easy to use",5,2025-05-16,Commercial Bank of Ethiopia,Google Play,0.7003,positive
Good app,5,2025-05-15,Commercial Bank of Ethiopia,Google Play,0.4404,positive
Good job👍,5,2025-05-14,Commercial Bank of Ethiopia,Google Play,0.4404,positive
good,5,2025-05-14,Commercial Bank of Ethiopia,Google Play,0.4404,positive
nice,5,2025-05-14,Commercial Bank of Ethiopia,Google Play,0.4215,positive
"Please kindly ask to update the app and allow us to screenshot, it's convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen.",2,2025-05-14,Commercial Bank of Ethiopia,Google Play,0.7579,positive
I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,4,2025-05-13,Commercial Bank of Ethiopia,Google Play,0.8728,positive
customer service is bad nothing is good about this bank,1,2025-05-13,Commercial Bank of Ethiopia,Google Play,-0.7101,negative
It is Amazing Mobile Banking App....But why the screenshot of the receipt doesnt work,5,2025-05-13,Commercial Bank of Ethiopia,Google Play,0.5859,positive
fast and simple easy to use 👌,5,2025-05-12,Commercial Bank of Ethiopia,Google Play,0.8415,positive
The fastest transferring app I ever had its so reliable,5,2025-05-11,Commercial Bank of Ethiopia,Google Play,0.0,neutral
"Funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received.",3,2025-05-11,Commercial Bank of Ethiopia,Google Play,0.0,neutral
it's easy and fast,5,2025-05-10,Commercial Bank of Ethiopia,Google Play,0.4404,positive
This app don't have self activation only you have to look near cbe branch that's disgusting,1,2025-05-10,Commercial Bank of Ethiopia,Google Play,-0.5267,negative
hello dearest CBE office personnel make some benefits for those using interest free accounts thanks for your help,5,2025-05-09,Commercial Bank of Ethiopia,Google Play,0.9524,positive
wow best application ever,5,2025-05-09,Commercial Bank of Ethiopia,Google Play,0.8402,positive
good,5,2025-05-09,Commercial Bank of Ethiopia,Google Play,0.4404,positive
"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,",1,2025-05-08,Commercial Bank of Ethiopia,Google Play,-0.4871,negative
Best,4,2025-05-08,Commercial Bank of Ethiopia,Google Play,0.6369,positive
the pride of Ethiopian bank 🏦,5,2025-05-08,Commercial Bank of Ethiopia,Google Play,0.34,positive
why the app telling me to turn of developer options please fix it.,1,2025-05-07,Commercial Bank of Ethiopia,Google Play,0.3182,positive
good,5,2025-05-07,Commercial Bank of Ethiopia,Google Play,0.4404,positive
ok,5,2025-05-07,Commercial Bank of Ethiopia,Google Play,0.296,positive
i am very happy . i have small prob. after i transfer i cant put the transfer cashe bil to my dic.,5,2025-05-07,Commercial Bank of Ethiopia,Google Play,0.6115,positive
good,3,2025-05-06,Commercial Bank of Ethiopia,Google Play,0.4404,positive
amazing apps,5,2025-05-06,Commercial Bank of Ethiopia,Google Play,0.5859,positive
All service of Mobile Banking,5,2025-05-06,Commercial Bank of Ethiopia,Google Play,0.0,neutral
needs improvement,1,2025-05-06,Commercial Bank of Ethiopia,Google Play,0.4588,positive
i miss the old one i couldn't send my mony to other bank..,1,2025-05-06,Commercial Bank of Ethiopia,Google Play,-0.1531,negative
the app is recently crushing each time you open and try to make transfers...it used to be good. take lessons from the Dashen Super app or ethiotelecom. it is not befitting of your experience and glory. inv3st in making it more friendly and convenient. I am considering leaving CBE for good.,2,2025-05-06,Commercial Bank of Ethiopia,Google Play,0.9348,positive
good,5,2025-05-06,Commercial Bank of Ethiopia,Google Play,0.4404,positive
good but these week not oky,4,2025-05-06,Commercial Bank of Ethiopia,Google Play,0.2382,positive
well designed! Fixing bugs & two step verification with biometric... simply it's great!,5,2025-05-06,Commercial Bank of Ethiopia,Google Play,0.7772,positive
Good app,5,2025-05-06,Commercial Bank of Ethiopia,Google Play,0.4404,positive
If any developer is reading this please fix the screenshot functionality or at least the download button should work flawlessly without me touching it twenty times.,1,2025-05-05,Commercial Bank of Ethiopia,Google Play,0.5307,positive
"it's a great job.but one more thing, it hasn't been placed for transfer to other banks on face like mobile charge card place",5,2025-05-05,Commercial Bank of Ethiopia,Google Play,0.765,positive
CBE mobilr bankg,5,2025-05-05,Commercial Bank of Ethiopia,Google Play,0.0,neutral
wow,1,2025-05-05,Commercial Bank of Ethiopia,Google Play,0.5859,positive
verygood,3,2025-05-05,Commercial Bank of Ethiopia,Google Play,0.0,neutral
ممتاز جدا,5,2025-05-04,Commercial Bank of Ethiopia,Google Play,0.0,neutral
it's very low quality application,1,2025-05-04,Commercial Bank of Ethiopia,Google Play,-0.3384,negative
Very Amazing Apps,5,2025-05-04,Commercial Bank of Ethiopia,Google Play,0.624,positive
አዛ,1,2025-05-04,Commercial Bank of Ethiopia,Google Play,0.0,neutral
wow simple life,5,2025-05-04,Commercial Bank of Ethiopia,Google Play,0.5859,positive
it's nice,5,2025-05-03,Commercial Bank of Ethiopia,Google Play,0.4215,positive
Why stacked sometimes,5,2025-05-03,Commercial Bank of Ethiopia,Google Play,0.0,neutral
good app,5,2025-05-03,Commercial Bank of Ethiopia,Google Play,0.4404,positive
nice,5,2025-05-03,Commercial Bank of Ethiopia,Google Play,0.4215,positive
okay 👍 but sometimes busy,1,2025-05-03,Commercial Bank of Ethiopia,Google Play,0.1154,positive
the worst commercial company that fails to do even the most normal things again and and again.,1,2025-05-03,Commercial Bank of Ethiopia,Google Play,-0.7845,negative
Very good app. but disappointed by general cessation of system.,5,2025-05-02,Commercial Bank of Ethiopia,Google Play,-0.4684,negative
excellent,5,2025-05-02,Commercial Bank of Ethiopia,Google Play,0.5719,positive
good,5,2025-05-02,Commercial Bank of Ethiopia,Google Play,0.4404,positive
Good and fast,5,2025-05-02,Commercial Bank of Ethiopia,Google Play,0.4404,positive
Unreliable!,1,2025-05-02,Commercial Bank of Ethiopia,Google Play,0.0,neutral
Best the best fast,5,2025-05-02,Commercial Bank of Ethiopia,Google Play,0.8555,positive
good app,5,2025-05-02,Commercial Bank of Ethiopia,Google Play,0.4404,positive
happy,5,2025-05-02,Commercial Bank of Ethiopia,Google Play,0.5719,positive
fast and reliable,5,2025-05-02,Commercial Bank of Ethiopia,Google Play,0.0,neutral
network errorrrrrr,2,2025-05-02,Commercial Bank of Ethiopia,Google Play,0.0,neutral
Best app but there is some problem I can't send money to telebirr or mpesa so if you can add that it could be use full,4,2025-05-02,Commercial Bank of Ethiopia,Google Play,-0.2382,negative
its good and simple to use,5,2025-05-02,Commercial Bank of Ethiopia,Google Play,0.4404,positive
worest app like that bank for security and network access,1,2025-05-02,Commercial Bank of Ethiopia,Google Play,0.5994,positive
it's the best app i,5,2025-05-02,Commercial Bank of Ethiopia,Google Play,0.6369,positive
not bad not good,1,2025-05-02,Commercial Bank of Ethiopia,Google Play,0.5981,positive
its very nice,5,2025-05-02,Commercial Bank of Ethiopia,Google Play,0.4754,positive
do not work this week,3,2025-04-30,Commercial Bank of Ethiopia,Google Play,0.0,neutral
It crashes frequently,4,2025-04-30,Commercial Bank of Ethiopia,Google Play,0.0,neutral
the best,5,2025-04-28,Commercial Bank of Ethiopia,Google Play,0.6369,positive
"I can simply describe this app as ""Making all your work easier"".",5,2025-04-28,Commercial Bank of Ethiopia,Google Play,0.4215,positive
goid,5,2025-04-28,Commercial Bank of Ethiopia,Google Play,0.0,neutral
best appearance,5,2025-04-27,Commercial Bank of Ethiopia,Google Play,0.6369,positive
it's very good 👍 app,5,2025-04-27,Commercial Bank of Ethiopia,Google Play,0.4927,positive
I need support you,5,2025-04-27,Commercial Bank of Ethiopia,Google Play,0.4019,positive
the worst Mobile banking i have ever seen in my life,1,2025-04-26,Commercial Bank of Ethiopia,Google Play,-0.6249,negative
super,5,2025-04-26,Commercial Bank of Ethiopia,Google Play,0.5994,positive
ጠጀጨገጀ።ጀገ,5,2025-04-26,Commercial Bank of Ethiopia,Google Play,0.0,neutral
i like the app,5,2025-04-26,Commercial Bank of Ethiopia,Google Play,0.3612,positive
the Best,1,2025-04-26,Commercial Bank of Ethiopia,Google Play,0.6369,positive
nice,5,2025-04-26,Commercial Bank of Ethiopia,Google Play,0.4215,positive
good,5,2025-04-26,Commercial Bank of Ethiopia,Google Play,0.4404,positive
good,5,2025-04-25,Commercial Bank of Ethiopia,Google Play,0.4404,positive
to other bank is bad,1,2025-04-25,Commercial Bank of Ethiopia,Google Play,-0.5423,negative
tank's,5,2025-04-25,Commercial Bank of Ethiopia,Google Play,0.0,neutral
its good but add more features such like. bank statement showing,5,2025-04-24,Commercial Bank of Ethiopia,Google Play,0.6804,positive
it is so nice,5,2025-04-24,Commercial Bank of Ethiopia,Google Play,0.5598,positive
good,5,2025-04-21,Commercial Bank of Ethiopia,Google Play,0.4404,positive
Very Good👍,5,2025-04-21,Commercial Bank of Ethiopia,Google Play,0.4927,positive
"my first frequent experience of cbe app is critical-time failure such as suspending payment on air for 2-5 days with zero explanation, deducting from sender account without depositing to the receiver act. Another fatal error by the banking company as a whole (not the app itself though) is forced-banking with corporations without consent of employers-users of the corresponding corporations",2,2025-04-21,Commercial Bank of Ethiopia,Google Play,-0.8797,negative
"wow, amazing app",5,2025-04-21,Commercial Bank of Ethiopia,Google Play,0.8225,positive
use ful,5,2025-04-21,Commercial Bank of Ethiopia,Google Play,0.0,neutral
Great app,5,2025-04-21,Commercial Bank of Ethiopia,Google Play,0.6249,positive
well app,5,2025-04-20,Commercial Bank of Ethiopia,Google Play,0.2732,positive
Actually it is inactive,4,2025-04-19,Commercial Bank of Ethiopia,Google Play,0.0,neutral
good,4,2025-04-19,Commercial Bank of Ethiopia,Google Play,0.4404,positive
ok,2,2025-04-19,Commercial Bank of Ethiopia,Google Play,0.296,positive
best app,5,2025-04-19,Commercial Bank of Ethiopia,Google Play,0.6369,positive
amazing,1,2025-04-19,Commercial Bank of Ethiopia,Google Play,0.5859,positive
good,5,2025-04-19,Commercial Bank of Ethiopia,Google Play,0.4404,positive
I like,5,2025-04-19,Commercial Bank of Ethiopia,Google Play,0.3612,positive
"slow, only one account is used",2,2025-04-19,Commercial Bank of Ethiopia,Google Play,0.0,neutral
ok,5,2025-04-19,Commercial Bank of Ethiopia,Google Play,0.296,positive
always CBE is the leading Commercial Bank💪💪💪,5,2025-04-18,Commercial Bank of Ethiopia,Google Play,0.0,neutral
i like it,5,2025-04-18,Commercial Bank of Ethiopia,Google Play,0.3612,positive
why removing screenshot feature why?,1,2025-04-18,Commercial Bank of Ethiopia,Google Play,0.0,neutral
nice apps where network is good in connection,5,2025-04-18,Commercial Bank of Ethiopia,Google Play,0.6908,positive
Thank you!!!,5,2025-04-18,Commercial Bank of Ethiopia,Google Play,0.5229,positive
i can't take screenshot,1,2025-04-18,Commercial Bank of Ethiopia,Google Play,0.0,neutral
"every update was made the system better and better until the March 19th, 2025 update, not allowing us to screenshot. you guys didn't understand how much it's a really quick and significant thing. You add extra steps to us, which makes the process draw back",3,2025-04-18,Commercial Bank of Ethiopia,Google Play,0.7823,positive
perfectly special,5,2025-04-18,Commercial Bank of Ethiopia,Google Play,0.7845,positive
Fast and Reliable,5,2025-04-18,Commercial Bank of Ethiopia,Google Play,0.0,neutral
good,5,2025-04-17,Commercial Bank of Ethiopia,Google Play,0.4404,positive
The best application I have ever seen in Ethiopia banking industry.,5,2025-04-17,Commercial Bank of Ethiopia,Google Play,0.6369,positive
great app!!!,5,2025-04-17,Commercial Bank of Ethiopia,Google Play,0.7163,positive
because sometimes it doesn't working it load too much,3,2025-04-17,Commercial Bank of Ethiopia,Google Play,0.0,neutral
"Absolutely the best app! It works flawlessly, anytime and anywhere.",5,2025-04-17,Commercial Bank of Ethiopia,Google Play,0.7629,positive
ok,3,2025-04-16,Commercial Bank of Ethiopia,Google Play,0.296,positive
very nice app ever!!!,5,2025-04-16,Commercial Bank of Ethiopia,Google Play,0.6084,positive
the best app,5,2025-04-16,Commercial Bank of Ethiopia,Google Play,0.6369,positive
Biometric security for mobile banking is not available,5,2025-04-16,Commercial Bank of Ethiopia,Google Play,0.34,positive
great,5,2025-04-15,Commercial Bank of Ethiopia,Google Play,0.6249,positive
Nice service,5,2025-04-15,Commercial Bank of Ethiopia,Google Play,0.4215,positive
great app,5,2025-04-15,Commercial Bank of Ethiopia,Google Play,0.6249,positive
it's special apps,5,2025-04-15,Commercial Bank of Ethiopia,Google Play,0.4019,positive
"In the updated version of the app, it takes more time to download the receipt.",3,2025-04-15,Commercial Bank of Ethiopia,Google Play,0.0,neutral
ለምንድነው ትራንዛክሽን ትንሽ ብቻ የሚያሳየው ?,3,2025-04-14,Commercial Bank of Ethiopia,Google Play,0.0,neutral
Good 🔥,5,2025-04-14,Commercial Bank of Ethiopia,Google Play,0.128,positive
very interesting app i am using every day fantastic,5,2025-04-14,Commercial Bank of Ethiopia,Google Play,0.7645,positive
lebaa bank,5,2025-04-14,Commercial Bank of Ethiopia,Google Play,0.0,neutral
Can't scan/recognize other banks' Interoperable QR Codes,1,2025-04-13,Commercial Bank of Ethiopia,Google Play,0.0,neutral
OK,5,2025-04-13,Commercial Bank of Ethiopia,Google Play,0.296,positive
grateful app,5,2025-04-13,Commercial Bank of Ethiopia,Google Play,0.4588,positive
